CustomerKey,CustomerName,RegionKey,IncomeBand,LoyaltyTier
C-0092,Customer 92,R-EU,Mid,Silver
C-0093,Customer 93,R-EU,Mid,Silver
C-0094,Customer 94,R-NA-W,Mid,Bronze
C-0095,Customer 95,R-EU,Mid,Bronze
C-0096,Customer 96,R-NA-W,High,Silver
C-0097,Customer 97,R-NA-W,High,Bronze
C-0098,Customer 98,R-NA-W,Mid,Silver
C-0099,Customer 99,R-NA-E,Mid,Bronze
C-0100,Customer 100,R-NA-E,Mid,Silver
C-0101,Customer 101,R-NA-E,Low,Silver
C-0102,Customer 102,R-EU,High,Bronze
C-0103,Customer 103,R-NA-W,Mid,Bronze
C-0104,Customer 104,R-NA-W,High,Bronze
C-0105,Customer 105,R-APAC,Mid,Bronze
C-0106,Customer 106,R-NA-E,High,Platinum
C-0107,Customer 107,R-NA-W,Mid,Bronze
C-0108,Customer 108,R-EU,Low,Gold
C-0109,Customer 109,R-NA-E,High,Bronze
C-0110,Customer 110,R-NA-E,Low,Silver
C-0111,Customer 111,R-NA-E,Mid,Gold
C-0112,Customer 112,R-NA-E,High,Silver
C-0113,Customer 113,R-APAC,High,Silver
C-0114,Customer 114,R-EU,Mid,Silver
C-0115,Customer 115,R-EU,Mid,Bronze
C-0116,Customer 116,R-APAC,Mid,Platinum
C-0117,Customer 117,R-EU,Low,Gold
C-0118,Customer 118,R-NA-E,Mid,Platinum
C-0119,Customer 119,R-APAC,Mid,Bronze
C-0120,Customer 120,R-NA-W,Mid,Gold
C-0121,Customer 121,R-EU,Mid,Platinum
C-0122,Customer 122,R-APAC,Mid,Bronze
C-0123,Customer 123,R-NA-W,Low,Bronze
C-0124,Customer 124,R-NA-E,Mid,Gold
C-0125,Customer 125,R-NA-E,Low,Silver
C-0126,Customer 126,R-NA-W,Mid,Gold
C-0127,Customer 127,R-EU,Mid,Bronze
C-0128,Customer 128,R-APAC,High,Gold
C-0129,Customer 129,R-NA-E,Mid,Bronze
C-0130,Customer 130,R-NA-W,Low,Bronze
C-0131,Customer 131,R-NA-W,Low,Bronze
C-0132,Customer 132,R-NA-E,Mid,Gold
C-0133,Customer 133,R-NA-E,Mid,Silver
C-0134,Customer 134,R-NA-W,Low,Silver
C-0135,Customer 135,R-APAC,Low,Silver
C-0136,Customer 136,R-NA-W,Mid,Gold
C-0137,Customer 137,R-NA-W,Low,Silver
C-0138,Customer 138,R-EU,High,Gold
C-0139,Customer 139,R-NA-W,Mid,Silver
C-0140,Customer 140,R-APAC,Low,Silver
C-0141,Customer 141,R-APAC,Low,Silver
C-0142,Customer 142,R-NA-E,High,Bronze
C-0143,Customer 143,R-NA-W,Mid,Gold
C-0144,Customer 144,R-NA-W,Mid,Silver
C-0145,Customer 145,R-NA-E,High,Bronze
C-0146,Customer 146,R-NA-E,High,Gold
C-0147,Customer 147,R-EU,High,Silver
C-0148,Customer 148,R-NA-W,Mid,Silver
C-0149,Customer 149,R-NA-E,Mid,Platinum
C-0150,Customer 150,R-NA-E,Low,Silver
C-0151,Customer 151,R-APAC,Mid,Bronze
C-0152,Customer 152,R-NA-E,Mid,Platinum
C-0153,Customer 153,R-NA-E,Mid,Silver
C-0154,Customer 154,R-NA-W,High,Bronze
C-0155,Customer 155,R-APAC,Low,Bronze
C-0156,Customer 156,R-NA-E,Mid,Gold
C-0157,Customer 157,R-EU,Low,Silver
C-0158,Customer 158,R-EU,Mid,Silver
C-0159,Customer 159,R-NA-E,Low,Gold
C-0160,Customer 160,R-EU,Low,Gold
C-0161,Customer 161,R-NA-W,Low,Bronze
C-0162,Customer 162,R-EU,Mid,Bronze
C-0163,Customer 163,R-EU,Mid,Bronze
C-0164,Customer 164,R-NA-W,Mid,Gold
C-0165,Customer 165,R-NA-E,High,Bronze
C-0166,Customer 166,R-EU,Mid,Silver
C-0167,Customer 167,R-NA-W,Low,Gold
C-0168,Customer 168,R-NA-E,High,Gold
C-0169,Customer 169,R-NA-E,Low,Bronze
C-0170,Customer 170,R-NA-W,High,Gold
C-0171,Customer 171,R-EU,Low,Bronze
C-0172,Customer 172,R-NA-E,High,Gold
C-0173,Customer 173,R-NA-W,Low,Bronze
C-0174,Customer 174,R-NA-E,High,Silver
C-0175,Customer 175,R-EU,Mid,Gold
C-0176,Customer 176,R-NA-E,High,Bronze
C-0177,Customer 177,R-EU,Low,Bronze
C-0178,Customer 178,R-NA-W,Mid,Gold
C-0179,Customer 179,R-APAC,High,Gold
C-0180,Customer 180,R-NA-E,Mid,Silver
C-0181,Customer 181,R-NA-W,Mid,Silver
C-0182,Customer 182,R-NA-E,Mid,Silver
C-0183,Customer 183,R-APAC,Mid,Bronze
C-0184,Customer 184,R-APAC,Mid,Bronze
C-0185,Customer 185,R-NA-E,Mid,Bronze
C-0186,Customer 186,R-EU,High,Platinum
C-0187,Customer 187,R-EU,Low,Silver
C-0188,Customer 188,R-NA-W,Low,Silver
C-0189,Customer 189,R-NA-W,High,Silver
C-0190,Customer 190,R-NA-E,High,Platinum
C-0191,Customer 191,R-NA-E,Mid,Bronze
C-0192,Customer 192,R-APAC,Mid,Silver
C-0193,Customer 193,R-APAC,Low,Silver
C-0194,Customer 194,R-EU,Low,Silver
C-0195,Customer 195,R-NA-W,Mid,Bronze
C-0196,Customer 196,R-NA-W,Mid,Gold
C-0197,Customer 197,R-EU,Mid,Platinum
C-0198,Customer 198,R-APAC,Low,Silver
C-0199,Customer 199,R-APAC,High,Silver
C-0200,Customer 200,R-EU,High,Platinum
C-0201,Customer 201,R-EU,Mid,Gold
C-0202,Customer 202,R-NA-E,Mid,Bronze
C-0203,Customer 203,R-NA-E,Mid,Silver
C-0204,Customer 204,R-APAC,High,Silver
C-0205,Customer 205,R-EU,Mid,Silver
C-0206,Customer 206,R-NA-E,Low,Gold
C-0207,Customer 207,R-NA-E,High,Platinum
C-0208,Customer 208,R-EU,High,Platinum
C-0209,Customer 209,R-NA-E,High,Silver
C-0210,Customer 210,R-NA-E,Mid,Bronze
C-0211,Customer 211,R-NA-W,Mid,Platinum
C-0212,Customer 212,R-EU,Mid,Gold
C-0213,Customer 213,R-EU,High,Bronze
C-0214,Customer 214,R-NA-E,High,Platinum
C-0215,Customer 215,R-EU,Low,Gold
C-0216,Customer 216,R-NA-E,Low,Silver
C-0217,Customer 217,R-NA-W,Mid,Silver
C-0218,Customer 218,R-EU,High,Silver
C-0219,Customer 219,R-EU,High,Bronze
C-0220,Customer 220,R-EU,Low,Bronze
C-0221,Customer 221,R-EU,Mid,Gold
C-0222,Customer 222,R-NA-W,Mid,Bronze
C-0223,Customer 223,R-NA-E,High,Bronze
C-0224,Customer 224,R-NA-W,High,Silver
C-0225,Customer 225,R-NA-E,High,Silver
C-0226,Customer 226,R-NA-E,Mid,Platinum
C-0227,Customer 227,R-APAC,Mid,Bronze
C-0228,Customer 228,R-NA-W,Low,Bronze
C-0229,Customer 229,R-APAC,Low,Gold
C-0230,Customer 230,R-EU,High,Silver
C-0231,Customer 231,R-EU,High,Bronze
C-0232,Customer 232,R-NA-W,High,Silver
C-0233,Customer 233,R-NA-W,High,Bronze
C-0234,Customer 234,R-NA-W,Mid,Bronze
C-0235,Customer 235,R-NA-E,Mid,Silver
C-0236,Customer 236,R-EU,High,Silver
C-0237,Customer 237,R-NA-E,High,Platinum
C-0238,Customer 238,R-NA-E,Low,Silver
C-0239,Customer 239,R-EU,Mid,Silver
C-0240,Customer 240,R-NA-E,Low,Silver
C-0241,Customer 241,R-APAC,High,Bronze
C-0242,Customer 242,R-APAC,Mid,Silver
C-0243,Customer 243,R-APAC,Low,Bronze
C-0244,Customer 244,R-NA-W,Mid,Platinum
C-0245,Customer 245,R-NA-E,Mid,Bronze
C-0246,Customer 246,R-APAC,Mid,Silver
C-0247,Customer 247,R-NA-W,Low,Bronze
C-0248,Customer 248,R-APAC,Mid,Platinum
C-0249,Customer 249,R-APAC,Mid,Silver
C-0250,Customer 250,R-APAC,Mid,Silver
C-0251,Customer 251,R-NA-E,Mid,Bronze
C-0252,Customer 252,R-NA-W,High,Gold
C-0253,Customer 253,R-APAC,Mid,Bronze
C-0254,Customer 254,R-NA-W,Mid,Gold
C-0255,Customer 255,R-NA-E,High,Bronze
C-0256,Customer 256,R-NA-W,Mid,Bronze
C-0257,Customer 257,R-APAC,Low,Bronze
C-0258,Customer 258,R-EU,Low,Silver
C-0259,Customer 259,R-NA-W,Mid,Silver
C-0260,Customer 260,R-NA-E,Mid,Bronze
C-0261,Customer 261,R-EU,Mid,Gold
C-0262,Customer 262,R-APAC,Low,Silver
C-0263,Customer 263,R-NA-E,Low,Silver
C-0264,Customer 264,R-NA-W,Low,Silver
C-0265,Customer 265,R-APAC,Mid,Silver
C-0266,Customer 266,R-EU,Mid,Silver
C-0267,Customer 267,R-EU,Mid,Bronze
C-0268,Customer 268,R-EU,Mid,Bronze
C-0269,Customer 269,R-NA-W,High,Gold
C-0270,Customer 270,R-NA-E,Mid,Platinum
C-0271,Customer 271,R-EU,Mid,Silver
C-0272,Customer 272,R-EU,Mid,Bronze
C-0273,Customer 273,R-APAC,Mid,Silver
C-0274,Customer 274,R-APAC,Mid,Silver
C-0275,Customer 275,R-NA-W,High,Bronze
C-0276,Customer 276,R-NA-W,High,Bronze
C-0277,Customer 277,R-EU,Low,Gold
C-0278,Customer 278,R-EU,High,Silver
C-0279,Customer 279,R-EU,Mid,Bronze
C-0280,Customer 280,R-EU,Low,Bronze
C-0281,Customer 281,R-APAC,Mid,Bronze
C-0282,Customer 282,R-NA-W,High,Silver
C-0283,Customer 283,R-NA-W,Mid,Bronze
C-0284,Customer 284,R-NA-E,Mid,Bronze
C-0285,Customer 285,R-NA-W,Mid,Gold
C-0286,Customer 286,R-NA-E,Low,Bronze
C-0287,Customer 287,R-NA-W,Low,Silver
C-0288,Customer 288,R-NA-W,Low,Bronze
C-0289,Customer 289,R-NA-E,Low,Bronze
C-0290,Customer 290,R-NA-W,Low,Bronze
C-0291,Customer 291,R-NA-E,Low,Gold
C-0292,Customer 292,R-NA-E,Mid,Gold
C-0293,Customer 293,R-EU,Low,Gold
C-0294,Customer 294,R-NA-W,Mid,Silver
C-0295,Customer 295,R-NA-E,High,Silver
C-0296,Customer 296,R-NA-W,Mid,Bronze
C-0297,Customer 297,R-EU,Mid,Bronze
C-0298,Customer 298,R-NA-E,Low,Gold
C-0299,Customer 299,R-EU,Low,Bronze
C-0300,Customer 300,R-NA-E,Low,Bronze
