TransactionID,DateKey,CustomerKey,ProductKey,ChannelKey,RegionKey,SalesRepKey,Quantity,UnitPrice,DiscountRate,NetAmount
T-20240101-0033,20240101,C-0149,P-200,CH-Retail,R-NA-E,S-005,1,81.92,0.0,81.92
T-20240101-0034,20240101,C-0081,P-300,CH-Retail,R-APAC,S-004,1,116.27,0.0,116.27
T-20240101-0035,20240101,C-0215,P-100,CH-Retail,R-EU,S-012,1,129.75,0.0,129.75
T-20240101-0036,20240101,C-0198,P-400,CH-Retail,R-APAC,S-020,1,171.58,0.1,154.42
T-20240101-0037,20240101,C-0200,P-100,CH-Retail,R-EU,S-018,3,75.7,0.0,227.11
T-20240101-0038,20240101,C-0025,P-200,CH-Online,R-NA-W,S-017,1,100.41,0.0,100.41
T-20240101-0039,20240101,C-0089,P-500,CH-Online,R-APAC,S-019,1,17.78,0.0,17.78
T-20240101-0040,20240101,C-0268,P-400,CH-Online,R-EU,S-009,1,123.69,0.1,111.32
T-20240101-0041,20240101,C-0143,P-200,CH-Online,R-NA-W,S-004,1,112.58,0.0,112.58
T-20240101-0042,20240101,C-0059,P-200,CH-Retail,R-NA-E,S-002,1,127.41,0.15,108.3
T-20240101-0043,20240101,C-0026,P-100,CH-Retail,R-EU,S-004,1,135.85,0.0,135.85
T-20240101-0044,20240101,C-0047,P-300,CH-Online,R-NA-W,S-002,1,177.51,0.0,177.51
T-20240101-0045,20240101,C-0288,P-100,CH-Retail,R-NA-W,S-015,1,93.62,0.0,93.62
T-20240101-0046,20240101,C-0266,P-300,CH-Online,R-EU,S-002,1,186.84,0.0,186.84
T-20240101-0047,20240101,C-0016,P-500,CH-Wholesale,R-NA-E,S-004,1,42.63,0.0,42.63
T-20240101-0048,20240101,C-0199,P-100,CH-Wholesale,R-APAC,S-006,1,78.98,0.0,78.98
T-20240101-0049,20240101,C-0282,P-400,CH-Online,R-NA-W,S-007,1,122.43,0.05,116.31
T-20240101-0050,20240101,C-0086,P-500,CH-Retail,R-NA-W,S-010,1,35.86,0.0,35.86
T-20240101-0051,20240101,C-0250,P-100,CH-Online,R-APAC,S-019,1,142.47,0.0,142.47
T-20240101-0052,20240101,C-0270,P-400,CH-Retail,R-NA-E,S-019,1,80.9,0.0,80.9
T-20240101-0053,20240101,C-0117,P-300,CH-Retail,R-EU,S-012,1,176.19,0.05,167.38
T-20240101-0054,20240101,C-0007,P-500,CH-Online,R-NA-E,S-003,1,40.67,0.0,40.67
T-20240101-0055,20240101,C-0137,P-300,CH-Retail,R-NA-W,S-013,1,64.48,0.1,58.03
T-20240101-0056,20240101,C-0176,P-300,CH-Online,R-NA-E,S-018,1,115.66,0.0,115.66
T-20240101-0057,20240101,C-0215,P-300,CH-Online,R-EU,S-008,1,89.96,0.0,89.96
T-20240101-0058,20240101,C-0082,P-400,CH-Retail,R-EU,S-015,1,142.07,0.0,142.07
T-20240101-0059,20240101,C-0223,P-400,CH-Online,R-NA-E,S-001,1,49.35,0.0,49.35
T-20240101-0060,20240101,C-0103,P-300,CH-Retail,R-NA-W,S-003,1,135.53,0.0,135.53
T-20240101-0061,20240101,C-0273,P-400,CH-Online,R-APAC,S-008,1,111.33,0.0,111.33
T-20240101-0062,20240101,C-0014,P-100,CH-Wholesale,R-NA-E,S-004,2,97.29,0.0,194.57
T-20240101-0063,20240101,C-0159,P-100,CH-Online,R-NA-E,S-016,3,96.98,0.05,276.39
T-20240101-0064,20240101,C-0152,P-100,CH-Retail,R-NA-E,S-010,1,91.19,0.0,91.19
T-20240101-0065,20240101,C-0108,P-200,CH-Retail,R-EU,S-012,1,102.1,0.0,102.1
T-20240101-0066,20240101,C-0188,P-100,CH-Online,R-NA-W,S-014,1,119.37,0.05,113.4
T-20240101-0067,20240101,C-0098,P-500,CH-Wholesale,R-NA-W,S-014,1,36.78,0.0,36.78
T-20240101-0068,20240101,C-0131,P-100,CH-Retail,R-NA-W,S-002,1,91.69,0.0,91.69
T-20240101-0069,20240101,C-0293,P-300,CH-Retail,R-EU,S-005,1,76.93,0.0,76.93
T-20240101-0070,20240101,C-0171,P-100,CH-Retail,R-EU,S-005,1,74.19,0.0,74.19
T-20240101-0071,20240101,C-0183,P-400,CH-Wholesale,R-APAC,S-006,1,199.28,0.0,199.28
T-20240101-0072,20240101,C-0039,P-500,CH-Wholesale,R-EU,S-013,1,33.22,0.15,28.24
T-20240101-0073,20240101,C-0015,P-300,CH-Retail,R-NA-E,S-009,1,141.59,0.0,141.59
T-20240101-0074,20240101,C-0004,P-400,CH-Retail,R-NA-W,S-015,1,105.52,0.05,100.24
T-20240101-0075,20240101,C-0210,P-100,CH-Online,R-NA-E,S-014,1,70.1,0.15,59.58
T-20240101-0076,20240101,C-0161,P-400,CH-Online,R-NA-W,S-007,1,115.98,0.0,115.98
T-20240101-0077,20240101,C-0016,P-100,CH-Retail,R-NA-E,S-020,1,147.93,0.0,147.93
T-20240101-0078,20240101,C-0108,P-500,CH-Online,R-EU,S-002,1,40.74,0.0,40.74
T-20240101-0079,20240101,C-0227,P-100,CH-Retail,R-APAC,S-007,1,77.43,0.05,73.56
T-20240101-0080,20240101,C-0170,P-300,CH-Online,R-NA-W,S-006,1,178.35,0.0,178.35
T-20240101-0081,20240101,C-0034,P-400,CH-Online,R-APAC,S-017,1,65.49,0.0,65.49
T-20240101-0082,20240101,C-0251,P-200,CH-Retail,R-NA-E,S-002,1,88.19,0.0,88.19
T-20240101-0083,20240101,C-0247,P-100,CH-Wholesale,R-NA-W,S-003,1,97.71,0.0,97.71
T-20240101-0084,20240101,C-0269,P-100,CH-Online,R-NA-W,S-005,1,136.02,0.1,122.42
T-20240101-0085,20240101,C-0141,P-200,CH-Retail,R-APAC,S-005,1,139.87,0.05,132.87
T-20240101-0086,20240101,C-0274,P-300,CH-Retail,R-APAC,S-001,1,131.93,0.0,131.93
T-20240101-0087,20240101,C-0096,P-100,CH-Online,R-NA-W,S-008,1,110.09,0.0,110.09
T-20240101-0088,20240101,C-0227,P-200,CH-Retail,R-APAC,S-012,1,120.24,0.0,120.24
T-20240101-0089,20240101,C-0039,P-100,CH-Online,R-EU,S-004,1,127.71,0.0,127.71
T-20240101-0090,20240101,C-0029,P-400,CH-Online,R-NA-W,S-013,1,171.0,0.0,171.0
T-20240101-0091,20240101,C-0245,P-100,CH-Wholesale,R-NA-E,S-015,1,82.3,0.15,69.96
T-20240101-0092,20240101,C-0236,P-200,CH-Online,R-EU,S-011,3,115.84,0.0,347.53
T-20240101-0093,20240101,C-0185,P-100,CH-Retail,R-NA-E,S-010,1,108.35,0.0,108.35
T-20240101-0094,20240101,C-0272,P-200,CH-Retail,R-EU,S-003,2,81.14,0.05,154.16
T-20240101-0095,20240101,C-0236,P-400,CH-Online,R-EU,S-014,3,90.81,0.05,258.79
T-20240101-0096,20240101,C-0239,P-200,CH-Retail,R-EU,S-016,1,123.3,0.0,123.3
T-20240101-0097,20240101,C-0266,P-100,CH-Wholesale,R-EU,S-010,1,110.49,0.0,110.49
T-20240101-0098,20240101,C-0065,P-400,CH-Online,R-NA-E,S-010,1,164.28,0.0,164.28
T-20240101-0099,20240101,C-0177,P-400,CH-Retail,R-EU,S-012,2,189.83,0.0,379.66
T-20240101-0100,20240101,C-0003,P-100,CH-Retail,R-EU,S-009,1,138.12,0.0,138.12
T-20240101-0101,20240101,C-0142,P-400,CH-Retail,R-NA-E,S-001,1,136.41,0.0,136.41
T-20240101-0102,20240101,C-0158,P-500,CH-Retail,R-EU,S-005,1,32.58,0.0,32.58
T-20240101-0103,20240101,C-0146,P-100,CH-Online,R-NA-E,S-020,1,108.77,0.0,108.77
T-20240101-0104,20240101,C-0293,P-400,CH-Wholesale,R-EU,S-008,1,87.58,0.0,87.58
T-20240101-0105,20240101,C-0153,P-400,CH-Wholesale,R-NA-E,S-011,1,51.94,0.0,51.94
T-20240101-0106,20240101,C-0193,P-300,CH-Retail,R-APAC,S-012,1,68.44,0.0,68.44
T-20240101-0107,20240101,C-0073,P-100,CH-Retail,R-NA-E,S-001,1,120.66,0.0,120.66
T-20240101-0108,20240101,C-0140,P-100,CH-Retail,R-APAC,S-020,1,87.66,0.0,87.66
T-20240101-0109,20240101,C-0187,P-400,CH-Retail,R-EU,S-011,1,175.68,0.05,166.9
T-20240101-0110,20240101,C-0293,P-500,CH-Retail,R-EU,S-005,1,26.19,0.0,26.19
T-20240101-0111,20240101,C-0061,P-300,CH-Retail,R-NA-W,S-015,1,124.08,0.0,124.08
T-20240101-0112,20240101,C-0198,P-200,CH-Retail,R-APAC,S-005,5,100.97,0.0,504.83
T-20240101-0113,20240101,C-0295,P-300,CH-Retail,R-NA-E,S-012,1,61.41,0.05,58.34
T-20240101-0114,20240101,C-0011,P-300,CH-Retail,R-NA-E,S-005,1,133.14,0.0,133.14
T-20240102-0000,20240102,C-0065,P-100,CH-Retail,R-NA-E,S-014,1,74.16,0.0,74.16
T-20240102-0001,20240102,C-0013,P-500,CH-Retail,R-EU,S-012,1,20.34,0.0,20.34
T-20240102-0002,20240102,C-0213,P-300,CH-Retail,R-EU,S-020,1,161.08,0.0,161.08
T-20240102-0003,20240102,C-0242,P-400,CH-Retail,R-APAC,S-004,2,180.45,0.1,324.82
T-20240102-0004,20240102,C-0213,P-200,CH-Retail,R-EU,S-012,1,89.1,0.15,75.74
T-20240102-0005,20240102,C-0181,P-100,CH-Online,R-NA-W,S-010,1,131.76,0.0,131.76
T-20240102-0006,20240102,C-0173,P-300,CH-Online,R-NA-W,S-007,3,114.23,0.0,342.69
T-20240102-0007,20240102,C-0160,P-100,CH-Retail,R-EU,S-003,1,109.83,0.0,109.83
T-20240102-0008,20240102,C-0164,P-300,CH-Retail,R-NA-W,S-014,1,171.54,0.05,162.96
T-20240102-0009,20240102,C-0188,P-500,CH-Online,R-NA-W,S-010,1,48.58,0.0,48.58
T-20240102-0010,20240102,C-0191,P-300,CH-Online,R-NA-E,S-016,1,85.94,0.0,85.94
T-20240102-0011,20240102,C-0256,P-300,CH-Retail,R-NA-W,S-016,1,141.53,0.0,141.53
T-20240102-0012,20240102,C-0183,P-100,CH-Online,R-APAC,S-010,1,143.21,0.0,143.21
T-20240102-0013,20240102,C-0117,P-100,CH-Online,R-EU,S-013,1,125.67,0.0,125.67
T-20240102-0014,20240102,C-0282,P-100,CH-Online,R-NA-W,S-006,3,138.57,0.0,415.72
T-20240102-0015,20240102,C-0196,P-300,CH-Online,R-NA-W,S-012,1,197.36,0.0,197.36
T-20240102-0016,20240102,C-0034,P-100,CH-Online,R-APAC,S-009,2,84.74,0.0,169.48
T-20240102-0017,20240102,C-0052,P-200,CH-Online,R-EU,S-013,1,82.17,0.0,82.17
T-20240102-0018,20240102,C-0112,P-300,CH-Online,R-NA-E,S-004,2,53.35,0.05,101.37
T-20240102-0019,20240102,C-0252,P-200,CH-Retail,R-NA-W,S-011,5,110.42,0.0,552.08
T-20240102-0020,20240102,C-0082,P-100,CH-Retail,R-EU,S-020,1,148.73,0.0,148.73
T-20240102-0021,20240102,C-0232,P-200,CH-Retail,R-NA-W,S-018,2,83.28,0.0,166.55
T-20240102-0022,20240102,C-0227,P-500,CH-Online,R-APAC,S-011,1,16.49,0.0,16.49
T-20240102-0023,20240102,C-0233,P-300,CH-Online,R-NA-W,S-004,1,124.38,0.1,111.95
T-20240102-0024,20240102,C-0221,P-300,CH-Retail,R-EU,S-018,1,52.71,0.0,52.71
T-20240102-0025,20240102,C-0042,P-100,CH-Online,R-NA-W,S-001,2,138.65,0.0,277.31
T-20240102-0026,20240102,C-0021,P-500,CH-Retail,R-EU,S-007,1,38.41,0.0,38.41
T-20240102-0027,20240102,C-0042,P-300,CH-Retail,R-NA-W,S-006,1,171.46,0.0,171.46
T-20240102-0028,20240102,C-0113,P-200,CH-Retail,R-APAC,S-015,2,109.54,0.0,219.07
T-20240102-0029,20240102,C-0105,P-400,CH-Online,R-APAC,S-018,1,67.8,0.05,64.41
T-20240102-0030,20240102,C-0192,P-200,CH-Online,R-APAC,S-011,1,78.05,0.0,78.05
T-20240102-0031,20240102,C-0017,P-300,CH-Retail,R-NA-W,S-020,1,95.67,0.0,95.67
T-20240102-0032,20240102,C-0120,P-300,CH-Online,R-NA-W,S-015,1,144.18,0.0,144.18
T-20240102-0033,20240102,C-0129,P-100,CH-Retail,R-NA-E,S-016,1,137.32,0.15,116.72
T-20240102-0034,20240102,C-0130,P-500,CH-Retail,R-NA-W,S-007,1,35.37,0.0,35.37
T-20240102-0035,20240102,C-0060,P-400,CH-Wholesale,R-NA-W,S-010,1,92.02,0.0,92.02
T-20240102-0036,20240102,C-0048,P-300,CH-Online,R-NA-W,S-012,2,67.98,0.0,135.96
T-20240102-0037,20240102,C-0029,P-100,CH-Retail,R-NA-W,S-014,1,136.96,0.0,136.96
T-20240102-0038,20240102,C-0097,P-100,CH-Retail,R-NA-W,S-005,1,125.53,0.0,125.53
T-20240102-0039,20240102,C-0010,P-200,CH-Online,R-EU,S-018,1,87.01,0.0,87.01
T-20240102-0040,20240102,C-0242,P-400,CH-Online,R-APAC,S-005,3,144.51,0.1,390.17
T-20240102-0041,20240102,C-0232,P-200,CH-Retail,R-NA-W,S-003,1,131.29,0.0,131.29
T-20240102-0042,20240102,C-0277,P-300,CH-Online,R-EU,S-005,3,81.65,0.0,244.94
T-20240102-0043,20240102,C-0284,P-400,CH-Online,R-NA-E,S-017,1,129.67,0.0,129.67
T-20240102-0044,20240102,C-0203,P-100,CH-Online,R-NA-E,S-019,2,106.83,0.0,213.66
T-20240102-0045,20240102,C-0247,P-300,CH-Retail,R-NA-W,S-019,5,100.86,0.0,504.32
T-20240102-0046,20240102,C-0290,P-100,CH-Retail,R-NA-W,S-012,1,103.8,0.0,103.8
T-20240102-0047,20240102,C-0264,P-500,CH-Retail,R-NA-W,S-009,1,46.72,0.1,42.05
T-20240102-0048,20240102,C-0214,P-300,CH-Online,R-NA-E,S-001,3,86.75,0.05,247.25
T-20240102-0049,20240102,C-0200,P-100,CH-Online,R-EU,S-018,1,134.39,0.15,114.23
T-20240102-0050,20240102,C-0079,P-200,CH-Retail,R-NA-W,S-004,1,128.13,0.05,121.73
T-20240102-0051,20240102,C-0173,P-200,CH-Retail,R-NA-W,S-010,2,92.52,0.0,185.04
T-20240102-0052,20240102,C-0069,P-400,CH-Online,R-NA-E,S-007,1,152.59,0.0,152.59
T-20240102-0053,20240102,C-0087,P-400,CH-Retail,R-EU,S-001,1,78.7,0.0,78.7
T-20240102-0054,20240102,C-0101,P-300,CH-Wholesale,R-NA-E,S-017,1,88.2,0.0,88.2
T-20240102-0055,20240102,C-0008,P-100,CH-Retail,R-APAC,S-002,1,93.99,0.0,93.99
T-20240102-0056,20240102,C-0200,P-100,CH-Retail,R-EU,S-011,2,142.23,0.0,284.46
T-20240102-0057,20240102,C-0087,P-100,CH-Wholesale,R-EU,S-009,2,117.46,0.0,234.92
T-20240102-0058,20240102,C-0043,P-300,CH-Online,R-NA-E,S-007,1,52.64,0.05,50.0
T-20240102-0059,20240102,C-0109,P-400,CH-Retail,R-NA-E,S-017,1,45.55,0.15,38.72
T-20240102-0060,20240102,C-0152,P-200,CH-Wholesale,R-NA-E,S-017,1,138.46,0.0,138.46
T-20240102-0061,20240102,C-0017,P-100,CH-Online,R-NA-W,S-002,1,136.51,0.0,136.51
T-20240102-0062,20240102,C-0133,P-300,CH-Retail,R-NA-E,S-006,3,55.02,0.0,165.05
T-20240102-0063,20240102,C-0148,P-400,CH-Retail,R-NA-W,S-014,2,172.69,0.0,345.37
T-20240102-0064,20240102,C-0277,P-400,CH-Retail,R-EU,S-006,1,122.79,0.0,122.79
T-20240102-0065,20240102,C-0232,P-400,CH-Retail,R-NA-W,S-002,1,109.54,0.0,109.54
T-20240102-0066,20240102,C-0228,P-200,CH-Wholesale,R-NA-W,S-001,1,141.4,0.0,141.4
T-20240102-0067,20240102,C-0139,P-100,CH-Retail,R-NA-W,S-010,1,120.5,0.0,120.5
T-20240102-0068,20240102,C-0211,P-400,CH-Online,R-NA-W,S-005,1,77.99,0.0,77.99
T-20240102-0069,20240102,C-0028,P-300,CH-Retail,R-NA-W,S-002,1,101.52,0.0,101.52
T-20240102-0070,20240102,C-0051,P-200,CH-Online,R-APAC,S-016,1,146.04,0.0,146.04
T-20240102-0071,20240102,C-0261,P-400,CH-Online,R-EU,S-002,1,121.0,0.0,121.0
T-20240102-0072,20240102,C-0261,P-400,CH-Retail,R-EU,S-010,1,80.7,0.0,80.7
T-20240102-0073,20240102,C-0008,P-300,CH-Retail,R-APAC,S-002,1,47.3,0.0,47.3
T-20240102-0074,20240102,C-0138,P-300,CH-Online,R-EU,S-016,1,195.45,0.0,195.45
T-20240102-0075,20240102,C-0038,P-200,CH-Wholesale,R-NA-E,S-016,1,85.69,0.0,85.69
T-20240102-0076,20240102,C-0111,P-300,CH-Retail,R-NA-E,S-019,1,73.12,0.0,73.12
T-20240102-0077,20240102,C-0220,P-300,CH-Retail,R-EU,S-007,1,41.23,0.0,41.23
T-20240102-0078,20240102,C-0223,P-400,CH-Online,R-NA-E,S-012,1,57.28,0.05,54.42
T-20240102-0079,20240102,C-0136,P-400,CH-Wholesale,R-NA-W,S-015,1,131.53,0.0,131.53
T-20240102-0080,20240102,C-0256,P-400,CH-Wholesale,R-NA-W,S-008,1,189.08,0.0,189.08
T-20240102-0081,20240102,C-0049,P-100,CH-Retail,R-NA-W,S-006,1,119.37,0.0,119.37
T-20240102-0082,20240102,C-0292,P-400,CH-Online,R-NA-E,S-010,2,121.19,0.0,242.37
T-20240102-0083,20240102,C-0078,P-400,CH-Online,R-NA-E,S-003,5,152.36,0.0,761.81
T-20240103-0000,20240103,C-0045,P-500,CH-Online,R-NA-E,S-014,1,49.8,0.0,49.8
T-20240103-0001,20240103,C-0001,P-200,CH-Online,R-NA-W,S-013,1,122.73,0.0,122.73
T-20240103-0002,20240103,C-0168,P-500,CH-Retail,R-NA-E,S-005,1,29.93,0.15,25.44
T-20240103-0003,20240103,C-0108,P-200,CH-Retail,R-EU,S-006,1,111.8,0.0,111.8
T-20240103-0004,20240103,C-0019,P-200,CH-Retail,R-NA-W,S-002,1,143.55,0.0,143.55
T-20240103-0005,20240103,C-0072,P-200,CH-Online,R-NA-E,S-017,1,71.04,0.05,67.49
T-20240103-0006,20240103,C-0109,P-300,CH-Online,R-NA-E,S-004,1,157.14,0.0,157.14
T-20240103-0007,20240103,C-0268,P-100,CH-Online,R-EU,S-014,3,101.62,0.15,259.12
T-20240103-0008,20240103,C-0240,P-300,CH-Online,R-NA-E,S-010,2,102.85,0.05,195.41
T-20240103-0009,20240103,C-0090,P-300,CH-Online,R-NA-W,S-003,1,89.6,0.0,89.6
T-20240103-0010,20240103,C-0103,P-400,CH-Online,R-NA-W,S-003,5,165.02,0.05,783.83
T-20240103-0011,20240103,C-0250,P-400,CH-Retail,R-APAC,S-015,1,176.83,0.05,167.99
T-20240103-0012,20240103,C-0008,P-200,CH-Wholesale,R-APAC,S-006,1,132.75,0.0,132.75
T-20240103-0013,20240103,C-0153,P-200,CH-Online,R-NA-E,S-017,1,134.38,0.05,127.66
T-20240103-0014,20240103,C-0174,P-200,CH-Wholesale,R-NA-E,S-012,1,84.23,0.05,80.02
T-20240103-0015,20240103,C-0158,P-100,CH-Online,R-EU,S-020,1,90.31,0.0,90.31
T-20240103-0016,20240103,C-0215,P-100,CH-Retail,R-EU,S-011,1,141.57,0.1,127.41
T-20240103-0017,20240103,C-0177,P-200,CH-Online,R-EU,S-004,5,82.3,0.15,349.79
T-20240103-0018,20240103,C-0175,P-200,CH-Retail,R-EU,S-006,1,109.57,0.0,109.57
T-20240103-0019,20240103,C-0146,P-500,CH-Wholesale,R-NA-E,S-001,1,35.42,0.0,35.42
T-20240103-0020,20240103,C-0161,P-300,CH-Retail,R-NA-W,S-020,1,49.23,0.0,49.23
T-20240103-0021,20240103,C-0127,P-200,CH-Online,R-EU,S-016,5,119.76,0.0,598.82
T-20240103-0022,20240103,C-0082,P-300,CH-Retail,R-EU,S-015,1,131.81,0.05,125.22
T-20240103-0023,20240103,C-0147,P-100,CH-Online,R-EU,S-017,2,142.18,0.15,241.7
T-20240103-0024,20240103,C-0239,P-200,CH-Retail,R-EU,S-008,2,72.2,0.05,137.18
T-20240103-0025,20240103,C-0084,P-300,CH-Retail,R-NA-E,S-012,3,76.59,0.0,229.77
T-20240103-0026,20240103,C-0113,P-300,CH-Online,R-APAC,S-010,1,148.73,0.0,148.73
T-20240103-0027,20240103,C-0225,P-200,CH-Retail,R-NA-E,S-015,1,127.53,0.0,127.53
T-20240103-0028,20240103,C-0243,P-500,CH-Retail,R-APAC,S-009,2,23.05,0.0,46.11
T-20240103-0029,20240103,C-0143,P-400,CH-Online,R-NA-W,S-002,3,108.82,0.05,310.13
T-20240103-0030,20240103,C-0041,P-300,CH-Retail,R-NA-E,S-005,1,104.15,0.05,98.94
T-20240103-0031,20240103,C-0258,P-300,CH-Online,R-EU,S-006,1,182.22,0.0,182.22
T-20240103-0032,20240103,C-0285,P-300,CH-Retail,R-NA-W,S-007,1,80.85,0.0,80.85
T-20240103-0033,20240103,C-0105,P-100,CH-Retail,R-APAC,S-001,1,72.62,0.0,72.62
T-20240103-0034,20240103,C-0202,P-200,CH-Retail,R-NA-E,S-007,2,93.62,0.0,187.24
T-20240103-0035,20240103,C-0266,P-100,CH-Retail,R-EU,S-020,2,77.6,0.0,155.21
T-20240103-0036,20240103,C-0210,P-300,CH-Retail,R-NA-E,S-012,1,156.28,0.0,156.28
T-20240103-0037,20240103,C-0051,P-300,CH-Online,R-APAC,S-016,1,171.97,0.0,171.97
T-20240103-0038,20240103,C-0118,P-100,CH-Retail,R-NA-E,S-016,1,73.63,0.1,66.27
T-20240103-0039,20240103,C-0201,P-500,CH-Online,R-EU,S-011,1,25.67,0.0,25.67
T-20240103-0040,20240103,C-0039,P-500,CH-Retail,R-EU,S-004,1,33.62,0.0,33.62
T-20240103-0041,20240103,C-0028,P-400,CH-Online,R-NA-W,S-013,1,155.7,0.0,155.7
T-20240103-0042,20240103,C-0259,P-300,CH-Online,R-NA-W,S-007,1,41.61,0.1,37.45
T-20240103-0043,20240103,C-0084,P-400,CH-Retail,R-NA-E,S-004,1,48.3,0.0,48.3
T-20240103-0044,20240103,C-0155,P-100,CH-Online,R-APAC,S-015,1,128.54,0.0,128.54
T-20240103-0045,20240103,C-0117,P-400,CH-Retail,R-EU,S-019,1,161.45,0.1,145.31
T-20240103-0046,20240103,C-0002,P-100,CH-Online,R-APAC,S-009,1,135.44,0.0,135.44
T-20240103-0047,20240103,C-0093,P-400,CH-Online,R-EU,S-011,1,60.06,0.15,51.05
T-20240103-0048,20240103,C-0166,P-200,CH-Retail,R-EU,S-008,1,102.46,0.05,97.34
T-20240103-0049,20240103,C-0296,P-400,CH-Online,R-NA-W,S-001,1,126.8,0.0,126.8
T-20240103-0050,20240103,C-0258,P-500,CH-Online,R-EU,S-008,1,26.58,0.0,26.58
T-20240103-0051,20240103,C-0081,P-100,CH-Retail,R-APAC,S-013,1,91.52,0.0,91.52
T-20240103-0052,20240103,C-0268,P-300,CH-Online,R-EU,S-004,1,140.55,0.0,140.55
T-20240103-0053,20240103,C-0235,P-500,CH-Retail,R-NA-E,S-008,1,47.97,0.0,47.97
T-20240103-0054,20240103,C-0213,P-300,CH-Online,R-EU,S-003,1,129.61,0.0,129.61
T-20240103-0055,20240103,C-0062,P-400,CH-Online,R-NA-E,S-009,5,67.53,0.0,337.67
T-20240103-0056,20240103,C-0049,P-300,CH-Retail,R-NA-W,S-002,1,65.44,0.0,65.44
T-20240103-0057,20240103,C-0127,P-200,CH-Online,R-EU,S-002,1,134.28,0.0,134.28
T-20240103-0058,20240103,C-0223,P-200,CH-Online,R-NA-E,S-013,1,138.04,0.0,138.04
T-20240103-0059,20240103,C-0279,P-100,CH-Online,R-EU,S-015,1,74.15,0.0,74.15
T-20240103-0060,20240103,C-0294,P-400,CH-Online,R-NA-W,S-012,1,146.42,0.0,146.42
T-20240103-0061,20240103,C-0284,P-200,CH-Retail,R-NA-E,S-004,1,131.18,0.0,131.18
